影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
终结的感觉,赖舒·彼查,尼克·佩恩;朱利安·巴恩斯,吉姆·布劳德本特;夏洛特·兰普林;哈丽特·瓦尔特;米歇尔·道克瑞;马修·古迪;艾米莉·莫迪默;詹姆斯·维尔比;爱德华·霍尔克罗夫特;比利·豪尔;弗雷娅·梅弗;乔·阿尔文;彼得·怀特;希尔顿·麦克雷;杰克·洛克斯顿;蒂莫西·英纳斯;凯利·普赖斯;奥利弗·莫尔特曼,剧情,英国,英语,2017-03-10(美国);2017-04-14(英国)
终结者2018,约瑟夫·麦克金提·尼彻,约翰·布兰卡托;迈克尔·费里斯,克里斯蒂安·贝尔;萨姆·沃辛顿;穆恩·布拉得古德;海伦娜·伯翰·卡特;安东·叶利钦;布莱丝·达拉斯·霍华德,动作;科幻;惊悚;冒险,美国 / 德国 / 英国 / 意大利,英语 / 意大利语,2009-06-09(中国大陆);2009-05-21(美国)
终结者：创世纪,阿兰·泰勒,莱塔·卡罗格里迪斯;帕特里克·卢西尔;詹姆斯·卡梅隆;盖尔·安妮·赫德,阿诺·施瓦辛格;杰森·克拉克;艾米莉亚·克拉克;杰·科特尼;J·K·西蒙斯;戴奥·奥柯奈伊;马特·史密斯;考特尼·万斯;李秉宪;迈克尔·盖拉迪斯;何家蓓;韦恩·巴斯楚普;格雷戈里·艾伦·威廉斯;奥托·桑切斯;马蒂·费拉罗;格里夫·弗斯特;伊恩·埃瑟里奇;诺兰·格罗斯;塞思·梅里韦瑟;阿非莫·奥米拉;特瑞·韦伯;凯莉·奥马利,动作;科幻;冒险,美国,英语,2015-08-23(中国大陆);2015-07-01(美国)
绑架,路易斯·普瑞托,内特·李,哈莉·贝瑞;塞奇·科雷亚;克里斯·麦金;卢·坦普尔;杰森·乔治;克里斯托弗·贝瑞;阿荣·希弗;柯蒂斯·贝德福特;卡梅拉·莱利;布莱斯·费舍尔;珍妮·文特里斯;蒂莫西·范农;安迪·瓦格纳;梅莉尔·罗斯,动作;惊悚,美国,英语,2017-05-21(挪威);2017-08-04(美国)
绑架者,徐静蕾;杨翌舒,徐静蕾;杨翌舒,白百何;黄立行;明道;李淳;李玖哲;徐静蕾;梁天,动作;犯罪,中国大陆 / 台湾 / 香港,汉语普通话,2017-03-31(中国大陆)
结婚前夜,洪智暎,,金康宇;朱智勋;李沇熹;金孝珍;马东锡;高俊熙;玉泽演,爱情,韩国,韩语,2013-11-21(韩国)
结婚礼服,权炯辰,刘英雅,宋允儿;金香起;李己雨;金艺玲;金明国;全美善;金汝珍;蔡相宇,剧情;家庭,韩国,韩语,2010-01-14(韩国)
绘画抑制9,马修·巴尼,,马修·巴尼;比约克;Mayumi Miyata,奇幻,美国 / 日本,英语 / 日语 / Icelandic,2005-09-16
给坏小子的歌,Aisling Walsh,Aisling Walsh;Kevin Byron Murphy;Patrick Galvin,Aidan Quinn;Iain Glen;Marc Warren;Dudley Sutton;Alan Devlin;Stuart Graham;John Travers;Robert Sheehan,剧情,爱尔兰 / 英国 / 丹麦 / 西班牙,英语,2004-04-13
给斯大林的礼物,鲁斯坦·阿卜杜拉舍夫,巴维尔·费尼,Yekaterina Rednikova;Nurzhuman Ikhtymbayev;Bakhtiar Khoja,剧情,哈萨克斯坦 / 俄罗斯 / 波兰 / 以色列,俄语 / 哈萨克语 / 希伯来语,2008-10-02
给桃子的信,冲浦启之,冲浦启之,美山加恋;优香;西田敏行;山寺宏一;长岛雄一,剧情;动画,日本,日语,2011-09-10(多伦多电影节);2012-04-21(日本)
给雅各布神父的信,克劳斯·哈洛,克劳斯·哈洛;Jaana Makkonen,卡琳娜·哈萨;尤嘎·盖诺宁;海奇·诺西艾南;埃斯科·洛依奈,剧情,芬兰,芬兰语,2009-04-03(芬兰)
绝世高手,卢正雨,卢正雨;赵英俊;冷旭阳;果晓丹,卢正雨;郭采洁;范伟;蔡国庆;陈冲;仓田保昭;孔连顺;黄龄;杨迪;柯达;艾伦;赵英俊;魏翔;汪聪;何蓝逗,喜剧;动作,中国大陆,汉语普通话,2017-07-07(中国大陆);2017-06-22(上海电影节)
绝命反击,Sylvain White,彼得·博格;James Vanderbilt,杰弗里·迪恩·摩根;佐伊·索尔达娜;克里斯·埃文斯;杰森·帕特里克;伊德里斯·艾尔巴;哥伦布·绍特;奥斯卡·贾恩那达,动作;悬疑;惊悚;犯罪;冒险,美国,英语,2010-04-23
绝命时钟2：22,保罗·柯瑞,托德·斯坦因;内森·帕克,泰莉莎·帕尔墨;米契尔·哈思曼;萨姆·里德;梅芙·德莫迪;约翰·沃特斯;瑞米·海依;西蒙娜·凯塞尔;凯瑞·阿姆斯特朗;凯蒂·麦康奈尔;杰西卡·克拉克;玛丽莎·拉蒙尼卡;理查德·戴维斯;扎拉·迈克尔斯;安吉·特里克;卡玛·莎伦;米切尔·巴特尔,爱情;惊悚,美国 / 澳大利亚,英语,2018-01-26(中国大陆);2017-06-30(美国)
绝命海拔,巴塔萨·科马库,威廉姆·尼克尔森;西蒙·博福伊,杰森·克拉克;乔什·布洛林;约翰·浩克斯;罗宾·怀特;艾米丽·沃森;迈克尔·凯利;凯拉·奈特莉;萨姆·沃辛顿;杰克·吉伦哈尔;克莱夫·斯坦登;伊丽莎白·德比茨基;米娅·高斯;马丁·亨德森;凡妮莎·柯比;汤姆·古德曼-希尔;森尚子,剧情;传记;冒险,英国 / 美国 / 冰岛,英语,2015-11-03(中国大陆);2015-09-02(威尼斯电影节);2015-09-25(美国)
绝命盗窃,Stephen S. Campanelli,亚当·马库斯;黛布拉·沙利文,欧嘉·柯瑞兰寇;摩根·弗里曼;詹姆斯·鲍弗;Jenna Saras;Lee-Anne Summers;Marian Frizelle;Sabine Palfi;卡尔·桑宁;Aidan Whytock;Lee Raviv;Greg Kriek;Grant Roberts;Lisa Leonard;Ebby Weyime;Scott Cooper,动作;惊悚,南非 / 美国,英语,2015-07-09(俄罗斯);2015-10-16(网络)
绝地逃亡,雷尼·哈林,布莱恩·盖特伍德;本大卫·格拉宾斯基;杰·朗吉诺;亚历桑德罗·田中;成龙,成龙;范冰冰;约翰尼·诺克斯维尔;曾志伟;王敏德;赵文瑄;伊芙·托雷斯;郭品超;施诗;延政勋;张蓝心;吉丽;托马尔·奥兹;保罗·菲利普·克拉克,喜剧;动作,中国大陆 / 美国 / 香港,汉语普通话 / 英语 / 俄语,2016-07-21(中国大陆);2016-09-02(美国)
绝密跟踪,曹义锡?;金丙书,曹义锡?;游乃海;欧健儿,薛耿求;郑雨盛;韩孝周;李俊昊;金秉玉;任达华;陈庆;卞耀汉,动作;犯罪,韩国,韩语,2014-09-16(中国大陆);2013-07-03(韩国)
绝对底线,何涛,罗小华,郭达;郭涛;袁晶;刘莉莉,剧情;悬疑;犯罪,中国大陆,汉语普通话,2012-02-03(中国大陆)
绝对控制,约翰·摩尔,丹尼尔·凯;小威廉·威谢尔,皮尔斯·布鲁斯南;詹姆斯·弗兰切威勒;安娜·弗莱尔;斯戴芬妮·斯考特;迈克尔·恩奎斯特;克莱尔-霍普·阿什蒂;杰森·贝瑞;亚当·弗格斯;布鲁斯·约翰逊,剧情;科幻;悬疑;犯罪,美国 / 爱尔兰 / 法国,英语,2016-12-24(中国大陆);2016-09(美国)
绝录求生,陆可,李鹰,吴超;孙骁潇;吴楚;冯波;王思思;安琥;国庆;刘波,悬疑;惊悚,中国大陆,汉语普通话,2012-01-06(中国大陆)
绝美之城,保罗·索伦蒂诺,保罗·索伦蒂诺;翁贝托·康塔罗,托尼·塞尔维洛;卡洛·维尔多内;萨布丽娜·费里利;卡洛·布奇罗索;雅雅·芙尔特;帕梅拉·韋路列斯;加拉泰亚·兰齐,剧情,意大利 / 法国,意大利语 / 日语 / 西班牙语 / 汉语普通话,2013-05-21(戛纳电影节/意大利)
绞刑架,特拉维斯·克拉夫;克里斯·罗夫因,特拉维斯·克拉夫;克里斯·罗夫因,卡西迪·吉福德;菲佛·布朗;瑞恩·舒斯;里斯·米什勒;特拉维斯·克拉夫;普莱斯·T·摩根;提奥·伯克哈特;马克·黑尔斯,惊悚;恐怖,美国,英语,2015-07-10(美国)
绣春刀,路阳,陈舒;路阳,张震;刘诗诗;王千源;李东学;聂远;金士杰;叶青;周一围;朱丹;赵立新;叶相明,剧情;动作;武侠;古装,中国大陆,汉语普通话 / 蒙古语,2014-08-07(中国大陆)
绣春刀II：修罗战场,路阳,陈舒;路阳;禹扬,张震;杨幂;张译;雷佳音;辛芷蕾;金士杰;刘端端;武强;杨轶;李媛;吴晓亮;李洪涛;刘峰超;袁文康;马赫;刘亭作;姜晓冲;陈齐威;王仁君;周一围,剧情;动作;武侠;古装,中国大陆,汉语普通话,2017-07-19(中国大陆);2017-06-18(上海电影节)
绣花鞋,叶伟民,文隽;杨梅媛,林心如;莫小棋;叶熙祺;惠英红;邢岷山;原岛大地;唐文龙;景岗山;陈晓东,剧情;恐怖,中国大陆,汉语普通话,2012-03-31(中国大陆)
维京：王者之战,安德列·克拉夫丘克,安德列·克拉夫丘克;约翰·梅林;安德烈·鲁巴诺夫;维克多·斯米尔诺夫,丹尼拉·科兹洛夫斯基;斯维特拉纳·库德钦科娃;马克西姆·苏卡诺夫;伊戈尔·别特连科;亚历山德拉·伯蒂奇;亚历山大·奥斯特犹科夫;安东·阿达辛斯基;亚历山大·阿默;罗斯蒂斯拉夫·贝谢尔;皮埃尔·布雷尔;维伦·巴比切夫;弗拉迪米尔·布滕科;谢尔盖·切尔丹采夫;帕维·德朗柯;阿列克谢·杰米多夫;约翰·德桑蒂斯;弗拉基米尔·叶皮凡采夫;柏拉图·加米涅夫;乔金·奈特奎斯特;基里尔·普雷特涅夫;哈拉尔德·罗森斯特罗姆;安德烈·斯莫利亚科夫;伊琳娜·杰米德金娜,剧情;动作;历史,俄罗斯,俄语,2017-12-01(中国大陆);2016-12-29(俄罗斯)
维克多·弗兰肯斯坦,保罗·麦奎根,马克斯·兰迪斯;玛丽·雪莱,詹姆斯·麦卡沃伊;丹尼尔·雷德克里夫;杰西卡·布朗·芬德利;安德鲁·斯科特;马克·加蒂斯;露易丝·布瑞丽;丹尼尔·梅斯;弗莱迪·福克斯;布隆森·韦伯;阿利斯泰·皮垂;斯宾塞·怀尔丁;卡勒姆·特纳,剧情;科幻;恐怖,美国,英语,2015-11-25(美国)
维多利亚与阿卜杜勒,斯蒂芬·弗雷斯,李·哈尔;莎芭妮·巴苏,朱迪·丹奇;阿里·扎勒;蒂姆·皮戈特-史密斯;艾迪·伊扎德;阿迪勒·阿赫塔尔;迈克尔·刚本;保罗·希金斯;奥莉维亚·威廉姆斯;费奈拉·伍尔加;朱利安·沃德姆;罗宾·索恩斯;鲁斯·麦克卡比;西蒙·卡洛;苏可·欧拉;柯马尔·迪恩-埃利斯,剧情;传记;历史,英国 / 美国,英语 / 乌尔都语 / 印地语,2017-09-03(威尼斯电影节);2017-09-15(英国);2017-10-06(美国)
维纳斯宾馆,タカハタ秀太,麻生哲郎,草彅剛;中谷美紀;香川照之;李準基,剧情,日本,韩语,2004-03-06
绿地黄花,武国越,越灵,陈盛荣;裴仲康;清美;美安;梅世侠;乐永;张秀莲;陈迈,剧情;儿童,越南,越南语,2015-10-02(越南)
绿灯侠,马丁·坎贝尔,格里格·伯兰蒂;Michael Goldenberg;Michael Green;马克·古根海姆,瑞安·雷诺兹;布蕾克·莱弗利;彼得·萨斯加德;马克·斯特朗;特穆拉·莫里森;珍娜·克莱格;乔恩·坦尼;蒂姆·罗宾斯;杰弗里·拉什,动作;科幻,美国,英语,2011-10-20(中国大陆);2011-06-17(美国)
绿灯侠：翡翠骑士,Chris Berkeley;Lauren Montgomery;Jay Oliva,Alan Burnett,内森·菲利安;伊丽莎白·莫斯;詹森·艾萨克,动作;科幻;动画,美国,英语,2011-06-07
绿灯侠：首次飞行,劳伦·蒙哥马利,艾伦·伯内特,克里斯托弗·米洛尼;维克多·加博;翠西亚·希弗;迈克尔·马德森;约翰·拉尔奎特;柯特伍德·史密斯;拉里·德雷克,动作;科幻;动画;冒险,美国,英语 / 西班牙语,2009-07-28(美国)
绿色地狱,伊莱·罗斯,伊莱·罗斯;吉列尔莫·阿莫依托,洛伦扎·伊佐;拉蒙·莱;艾瑞尔·利维;达里尔·沙巴拉;可比·毕丝·布兰顿;斯凯·费雷拉;麦达·阿帕诺威茨;尼古拉斯·马丁内斯;亚伦·伯恩斯;伊格纳西·阿尔曼德;理查德·布基;尤西比奥·阿瑞纳斯;马蒂亚斯·洛佩兹;安东涅塔·帕里;约翰·马克·艾伦,恐怖;冒险,美国 / 智利,英语,2013-11-02(纽约首映);2014-10-16(智利);2015-09-25(美国)
绿色房间,杰瑞米·索尔尼尔,杰瑞米·索尔尼尔,安东·叶利钦;伊莫琴·普茨;阿莉雅·肖卡特;乔·科尔;卡勒姆·特纳;帕特里克·斯图尔特;梅肯·布莱尔;马克·韦伯;埃里克·埃德尔斯坦;凯·伦诺克斯;梅森·奈特,惊悚;恐怖;犯罪,美国,英语,2015-05-17(戛纳电影节);2016-04-29(美国)
绿行星,柯琳娜·塞罗,柯琳娜·塞罗,柯琳娜·塞罗;文森特·林顿;玛丽昂·歌迪亚;詹姆斯·提瑞;卡特琳·萨米;菲利平·勒鲁瓦-博利约;Francis Perrin,喜剧,法国,法语,1996-09-18
缄默,邓肯·琼斯,邓肯·琼斯;迈克尔·罗伯特·约翰逊,亚历山大·斯卡斯加德;保罗·路德;贾斯汀·塞洛克斯;罗伯特·席安;谢妮布·萨利赫;罗伯特·卡辛斯基;多米尼克·莫纳汉;山姆·洛克威尔;丹尼尔·法瑟斯;诺埃尔·克拉克;弗洛伦丝·卡松巴;克斯腾·布劳克;安杰伊·布卢门菲尔德;尼基·兰伯恩;卡罗琳·彼得斯;劳拉·德波尔;马蒂·博斯泰特;杰尼斯·纽沃纳;安妮娜·沃尔特;尤金·鲍德尔,科幻;悬疑;惊悚,英国 / 德国,英语 / 德语,2018-02-23(美国)
缉枪,徐兵,徐兵,白举纲;热依扎;连奕名;任东霖;童苡萱;王堃;洪剑涛;王泷正;陈启杰;戚云鹏;苗青;吴冕;娟子;崔月;巴多;斌子;侯传杲;白红标;洪京京;黎真成;李明;黄馨瑶;葛英含;孙亚来;韩楠;石典典;程婉竹;焦尤成;赵炳锐;汤程,剧情;动作;犯罪,中国大陆,汉语普通话,2017-06-23(中国大陆)
编舟记,石井裕也,渡边谦作;三浦紫苑,松田龙平;宫崎葵;小田切让;黑木华;渡边美佐子;池胁千鹤;鹤见辰吾;伊佐山博子;八千草薰;小林薰;加藤刚;麻生久美子;波冈一喜;森冈龙;斋藤嘉树;宇野祥平;又吉直树;又吉直树 Naoki Matayoshi,剧情,日本,日语,2013-04-13(日本)
缘：出云新娘,堀内博志,堀内博志,佐佐木希;井坂俊哉;平冈佑太,剧情,日本,日语,2016-01-16(日本)
缝纫机乐队,大鹏,大鹏;苏彪,大鹏;乔杉;古力娜扎;李鸿其;韩童生;曲隽希;于谦;岳云鹏;王劲松;于洋;代乐乐;赵英俊;马大明;张一鸣;衣云鹤;曹然然;曹桐睿;宋小宝;刘小光;文松;宋晓峰;周冬雨;袁姗姗;宋茜;林志玲,喜剧;音乐,中国大陆,汉语普通话,2017-09-29(中国大陆)
缩小人生,亚历山大·佩恩,亚历山大·佩恩;吉姆·泰勒,马特·达蒙;克里斯托弗·沃尔兹;周洪;克里斯汀·韦格;罗夫·拉斯加德;英洁德·埃格伯格;乌多·基尔;索伦·比尔马克;杰妮·霍蒂谢尔;杰森·苏戴奇斯;玛莉贝丝·梦露;菲尔·里夫斯;布里盖特·伦迪·佩恩;詹姆斯·范德比克;艾丽森·J·帕尔默;蒂姆·德里斯科尔;凯文·孔克尔;派崔克·盖勒;安娜·玛丽·考克斯;罗兰·马丁;尼尔·帕特里克·哈里斯;劳拉·邓恩;南希·纳什;玛格·马丁戴尔;凯瑞·肯妮;唐·雷克;玛丽·凯·普莱斯,剧情;喜剧;科幻,美国,英语,2017-08-30(威尼斯电影节);2017-12-22(美国)
缩水情人梦,洛朗·蒂拉尔,马科斯·卡内瓦莱;洛朗·蒂拉尔;格雷古瓦·维涅隆,让·杜雅尔丹;维尔日妮·埃菲拉;塞德里克·康;凯撒·东布瓦;克里斯蒂安·妮科尼尔;埃里克·博格;马里亚姆·特凯亚;杰弗瑞·古艾,喜剧;爱情,法国,法语 / 英语,2016-05-04(法国)
网,金基德,金基德,柳昇范;李源根;安智慧;崔奎华,剧情,韩国,韩语,2016-08-31(威尼斯电影节);2016-10-06(韩国)
网球王子剧场版：迹部的礼物,浜名孝行,志茂文彦,诹访部顺一,动画,日本,日语,2005-01-29(日本)
网聘女伴,杰克·西曼斯基,安德鲁·J·科恩;布兰登·奥布莱恩,扎克·埃夫隆;安娜·肯德里克;奥布瑞·普拉扎;亚当·德维尼;斯蒂芬·鲁特;斯蒂芬妮·法拉希;布兰斯康比·里奇蒙德;爱丽丝·韦特兰德;山姆·理查森;舒格·林·彼尔德;温蒂·威廉姆斯,喜剧;爱情;冒险,美国,英语,2016-07-08(美国)
罗密欧与朱丽叶,Redha;Gilles Amado,莎士比亚;Gérard Presgurvic,达米安·萨格;希西莉亚·卡拉;葛里高利·巴奎特,剧情;爱情;歌舞,法国,法语,2002-02-06(法国)
罗曼先生，你好,丹·吉尔罗伊,丹·吉尔罗伊,丹泽尔·华盛顿;科林·法瑞尔;卡门·艾乔戈;雪莱·亨尼格;纳齐恩·康特拉科特;托尼·普拉纳;布瑞塔妮·石桥;佩吉·瓦哈达特;詹姆斯·帕克顿;阿曼达·沃伦;安德鲁·T·李;尼尔斯·菲奇,剧情;犯罪,美国,英语,2017-09-10(多伦多电影节);2017-11-22(美国)
罗曼蒂克消亡史,程耳,程耳,葛优;章子怡;浅野忠信;杜淳;钟欣潼;倪大红;赵宝刚;袁泉;闫妮;韩庚;霍思燕;杜江;王传君;钟汉良;马晓伟;吕行;乔笑笑;刘天阳;赵海涛;叶禾;周敬峰;杨露璐;松峰莉璃;松浦敬之;平田康之;张晓龙;郭晓小;小黑,剧情;动作;悬疑,中国大陆 / 香港,汉语普通话 / 上海话 / 日语 / 英语,2016-12-16(中国大陆)
罗西与苹果酒,Philippa Lowthrope,洛瑞·李;Ben Vanstone,萨曼莎·莫顿;杰西卡·海因斯;琼恩·维特费尔德;安妮特·克罗斯比;比利·豪尔,剧情,英国,英语,2015-09-27
罗马假日,李德熙,赵昌烈;金冬旭,任昌丁;孔炯轸;郑尚勋;姜信日;金正碧;徐恩雅;张光,剧情;喜剧,韩国,韩语,2017-08-30(韩国)
罗马浴场2,武内英树,桥本裕志,伊凡·科斯塔迪诺夫;北村一辉;上户彩;阿部宽;竹内力;市村正亲;宍户开;笹野高史;Robert Baldwin;白木实,喜剧;奇幻,日本,日语,2014-04-26(日本)
罪恶,梅克纳·古勒扎尔,维夏·巴德瓦杰,伊尔凡·可汗;康柯纳·森·沙尔玛;塔布;内拉吉·卡比;索姆·沙;普拉卡什·贝尔拉迪;什沙尔·夏尔马,剧情;悬疑;惊悚,印度,印地语,2015-10-02(印度)
罪恶之城2,罗伯特·罗德里格兹;弗兰克·米勒,弗兰克·米勒,米基·洛克;杰西卡·阿尔芭;乔什·布洛林;约瑟夫·高登-莱维特;罗莎里奥·道森;布鲁斯·威利斯;伊娃·格林;鲍沃斯·布斯;雷·利奥塔;克里斯托弗·米洛尼;杰里米·皮文;克里斯托弗·洛伊德;杰米·金;朱诺·坦普尔;杰米·钟;Lady Gaga;朱莉娅·加纳,动作;惊悚;犯罪,美国,英语,2014-08-22(美国)
罪恶之家,艾斯林·沃什,约翰·博因顿·普里斯特利;海伦·埃德蒙森,大卫·休里斯;米兰达·理查森;苏菲·兰朵;肯·斯托特;芬恩·科尔;克洛伊·皮里;凯尔·索列尔;弗洛拉·尼科尔森;加里·戴维斯;婉妲·奥普琳斯卡,剧情;悬疑,英国,英语,2015-09-13(英国)
罪恶的编年史,白云学,白云学,孙贤周;马东锡;丹尼尔·崔;朴叙俊,惊悚,韩国,韩语,2015-05-14(韩国)
罪恶赎金,亨里克·鲁本·甘茨,凯利·玛斯特森;马库斯·萨基,詹姆斯·弗兰科;凯特·哈德森;奥玛·希;汤姆·威尔金森;安娜·弗莱尔;萨姆·斯普卢尔;迪尔梅德·默塔;迈克尔·福克斯;弗朗西斯·麦基;马尔滕·丹嫩贝格;迈克尔·吉普森;瓦·阿里;黛安娜·哈卡索,动作;惊悚;犯罪,英国 / 美国 / 瑞典 / 丹麦,英语,2015-07-03(中国大陆);2014-09-26(美国)
罪爱,阿兰·科诺,纳塔利·卡特;阿兰·科诺,克里斯汀·斯科特·托马斯;露德温·塞尼耶;Patrick Mille;Guillaume Marquet;Gérald Laroche;Julien Rochefort;奥利维尔·雷堡汀;Mike Powers,悬疑;惊悚;犯罪,法国,法语,2010-08-18(法国);2010-10-09(美国)
罪的留白,大塚祐吉,大塚祐吉,内野圣阳;吉本实忧;谷村美月;葵若菜;宇野爱海;堀部圭亮;利重刚;加藤雅也;武田玲奈,剧情,日本,日语,2015-10-03(日本)
美丽之星,吉田大八,三岛由纪夫;吉田大八,中川雅也;龟梨和也;桥本爱;中岛朋子;佐佐木藏之介,剧情;科幻,日本,日语,2017-05-26(日本)
美丽心境界,安杰伊·亚基莫夫斯基,安杰伊·亚基莫夫斯基,亚历山德拉·玛丽亚·拉娜;爱德华·霍格;David Atrakchi,剧情,波兰 / 葡萄牙 / 法国 / 英国,英语 / 德语 / 法语,2012-10-13
美丽的秘密,Leopoldo Laborde,利奥波德·拉波德,Katy Jurado;Imanol;Ana de la Reguera,剧情,墨西哥,西班牙语,2003-04-12
美人鱼,周星驰,周星驰;李思臻;何妙祺;曾瑾昌;卢正雨;江玉仪,邓超;罗志祥;张雨绮;林允;徐克;吴亦凡;李尚正;卢正雨;白客;孔连顺;田启文;文章;杨能;张美娥;李叶青;林子聪;赵志凌;郑冀峰;钱国伟;范淑珍;艾文·科蒂克;松冈李那;徐轸轸;夏尉喻;皮埃尔·布迪厄;孙嘉灵;许雅婷;赵靖伊;付骏福;虞嘉娜;宁小花;易志乐;孙乐天,喜剧;爱情;奇幻,中国大陆 / 香港,汉语普通话 / 英语 / 日语,2016-02-08(中国大陆/香港)
美味人妻2,,,李恩美;贞贤宇;熙官;Yoo Da Eun,爱情;情色,韩国,韩语,2015-09-02(韩国)
美味毒妇,热罗姆·恩里科,Laurie Aubanel;热罗姆·恩里科,贝纳德特·拉封;卡门·毛拉;多米尼克·拉冯纳特;Fran?oise Bertin,剧情;喜剧;犯罪,法国,法语,2013-01-16(法国)
美国刺客,迈克尔·科斯塔,史蒂芬·希夫;迈克尔·芬奇;爱德华·兹威克;马歇尔·赫斯科维兹;文斯·弗林,迪伦·奥布莱恩;迈克尔·基顿;泰勒·克奇;桑娜·莱瑟;希娃·尼加;斯科特·阿金斯;特雷弗·怀特;穆罕默德·巴克里;夏洛特·维嘉;巴斯特·雷维斯;杰夫·戴维斯;大卫·苏切;迈克尔·怀德曼;纳维德·内加班;悉德妮·怀特;阿拉·萨菲,动作;惊悚,美国 / 香港,英语 / 意大利语 / 阿拉伯语 / 波兰语 / 土耳其语 / 波斯语,2017-09-15(美国)
美国劫案,Sarik Andreasyan,Raul Inglis,海登·克里斯滕森;艾德里安·布洛迪;乔丹娜·布鲁斯特;Aaron V. Williamson;劳拉·凯洛蒂;埃琳娜·桑切斯;托利·基特尔斯;Divine Prince Ty Emmecca;乔·克里斯特;约翰·阿米乔;Luis Da Silva Jr.;贾德·罗德曼;阿肯;兰斯·E·尼克尔斯;Jazzy Ellis,动作,加拿大 / 卢森堡,英语,2014-09-11(多伦多电影节)
美国情人,诺亚·鲍姆巴赫,诺亚·鲍姆巴赫;格蕾塔·葛韦格,格蕾塔·葛韦格;罗拉·科克;希瑟·林德;张欣迪;迈克尔·切鲁斯;塞斯·帕里什;朱丽叶·布雷特;乔尔·加兰;瑞贝卡·亨德森;迪恩·威尔汉姆,喜剧,美国,英语,2015-08-14(美国)
美国狙击手,克林特·伊斯特伍德,杰森·霍尔,布莱德利·库珀;西耶娜·米勒;凯尔·加尔纳;卢克·葛莱姆斯;杰克·麦克道曼;玛内特·帕特森;艾瑞克·克罗斯;布莱恩·哈利塞;山姆·贾格;吉尔·奥唐奈;科里·哈德里克;埃里克·拉丁;纳维德·内加班;Joel Lambert;阿萨夫·科恩,动作;传记;战争,美国,英语 / 阿拉伯语,2014-11-11(AFI影展);2015-01-16(美国)
美国玛丽,Jen Soska;Sylvia Soska,Jen Soska;Sylvia Soska,凯瑟琳·伊莎贝尔;安东尼奥·库普;Tristan Risk,惊悚;恐怖,加拿大,英语,
美国甜心,安德里亚·阿诺德,安德里亚·阿诺德,萨莎·莱恩;希亚·拉博夫;丽莉·克亚芙;麦考尔·隆巴蒂;阿莉尔·霍尔姆斯;威尔·帕顿;乍得·考克斯;以赛亚·斯通,剧情,美国 / 英国,英语,2016-05-15(戛纳电影节);2016-09-30(美国)
美国英雄,尼克·拉夫,尼克·拉夫,斯蒂芬·多尔夫;艾迪·格里芬;克里斯托弗·贝瑞;Bill Billions;约翰斯·迈尔斯;Tim J. Smith,喜剧;动作;科幻,美国,英语,2015-12-11(美国)
美国行动,道格·里曼,加里·斯皮内利,汤姆·克鲁斯;萨拉·赖特;多姆纳尔·格里森;杰西·普莱蒙;卡赖伯·兰德里·琼斯;罗拉·科克;杰玛·梅斯;康纳·特里内尔;本尼托·马丁内斯;艾普尔·比尔林斯利;杰德·瑞斯;斯蒂芬·考特尔;罗伯特·普拉尔戈;E·罗杰·米切尔;贾斯蒂斯·利克;莎朗·莫里斯;罗伯特·法里奥尔;亚历杭德罗·埃达,喜剧;动作;传记;犯罪,美国,英语 / 西班牙语,2018(中国大陆);2017-08-18(台湾);2017-09-29(美国)
美国队长,乔·庄斯顿,克里斯托弗·马库斯;斯蒂芬·麦克菲利;乔·西蒙;杰克·科比,克里斯·埃文斯;海莉·阿特维尔;塞巴斯蒂安·斯坦;汤米·李·琼斯;雨果·维文;多米尼克·库珀;理查德·阿米蒂奇;斯坦利·图齐;塞缪尔·杰克逊;托比·琼斯;尼尔·麦克唐纳;德里克·卢克;肯尼斯·崔;约翰·约瑟夫·菲尔德,动作;科幻;冒险,美国,英语 / 挪威语 / 法语,2011-09-09(中国大陆);2011-07-19(加州首映);2011-07-22(美国)
美国队长2,安东尼·罗素;乔·罗素,克里斯托弗·马库斯;斯蒂芬·麦克菲利,克里斯·埃文斯;斯嘉丽·约翰逊;塞巴斯蒂安·斯坦;安东尼·麦凯;海莉·阿特维尔;艾米丽·万凯普;罗伯特·雷德福;塞缪尔·杰克逊;寇碧·史莫德斯;卡兰·马尔韦;弗兰克·格里罗;斯坦·李;托比·琼斯;珍妮·艾加特;乔治·圣皮埃尔;盖瑞·山德林;阿兰·戴尔;黄经汉;阿德托库姆布斯·麦克马克;多米尼克·瑞恩斯,动作;科幻;冒险,美国,英语 / 法语,2014-04-04(美国/中国大陆);2014-03-13(加州首映)
美国队长3,安东尼·罗素;乔·罗素,克里斯托弗·马库斯;斯蒂芬·麦克菲利;杰克·科比;乔·西蒙,克里斯·埃文斯;小罗伯特·唐尼;斯嘉丽·约翰逊;塞巴斯蒂安·斯坦;安东尼·麦凯;唐·钱德尔;杰瑞米·雷纳;查德维克·博斯曼;保罗·贝坦尼;伊丽莎白·奥尔森;保罗·路德;艾米丽·万凯普;汤姆·赫兰德;丹尼尔·布鲁尔;弗兰克·格里罗;威廉·赫特;马丁·弗瑞曼;霍普·戴维斯;玛丽莎·托梅;吉姆·拉什;金世佳,动作;科幻;冒险,美国,科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,2016-05-06(中国大陆/美国);2016-04-12(加州首映)
